B-Y36624	1700
B-Y33565	1600
B-BY19525	300
B-Y96437	1100
B-Y104711	800
B-BY36569	325
B-PAGES00005	33500
B-Y234288	9900
B-FTA3965	1950
B-Y252853	50
B-M8348	31200
B-Y202015	24500
B-M30	24500
B-M211	950
B-PH1452	950
B-SK394	275
B-PH176	26900
B-M169	500
B-FT298229	500
B-Y34340	16600
B-Y27340	600
B-Y33544	4200
B-BY16864	1000
B-BY17156	600
B-Y108516	600
B-BY16855	750
B-BY17582	50
B-Y90890	650
B-M150	37400
B-M6057	26100
B-Y202274	50
B-Y35911	14100
B-Y36638	2300
B-Y35921	950
B-V75	28300
B-Y275213	12900
B-M5844	23700
B-Y10267	14300
B-A9832	3400
B-Y82154	2900
B-Y24839	3400
B-Y68934	150
B-FGC53343	3400
B-Y32536	2900
B-Y22728	2500
B-Y66169	800
B-FGC53377	2400
B-Y104652	2200
B-Y107000	1100
B-Y131111	1100
B-Y131119	950
B-Y131113	200
B-Y168342	2200
B-Y84437	550
B-FT193390	125
B-FGC53352	2200
B-FGC53368	275
B-Y160490	50
B-FGC53362	150
B-BY54916	50
B-FGC53336	150
B-V1895	11600
B-Y21912	9600
B-Y23376	8400
B-Y33076	8000
B-Y32493	4000
B-Y34387	650
B-Y32491	375
B-Y33569	4400
B-BY17403	2700
B-BY17427	2600
B-Y61330	400
B-BY20753	2000
B-Y82592	150
B-Y89212	750
B-Y23376a	8400
B-FGC51207	8400
B-FGC51151	3400
B-BY188111	2600
B-Y33555	800
B-FGC51184	275
B-BY17607	2800
B-BY17606	2700
B-FTC80548	2300
B-BY17608	2100
B-BY19522	1200
B-Y82384	900
B-Y35910	1400
B-Y88478	375
B-Y96024	325
B-Y10394	9800
B-A20690	3000
B-FT411604	3000
B-Y542832	2200
B-Y72963	7400
B-Y93759	6800
B-FT172164	950
B-Y173299	275
B-FT51493	200
B-Y30926	6600
B-BY17044	3900
B-BY17042	3200
B-Y35907	1900
B-Y82359	650
B-BY17062	3200
B-BY17070	550
B-BY16132	6600
B-BY16115	4200
B-Y90257	5800
B-BY17031	4700
B-Y83439	4100
B-Y82149	2600
B-Y33560	2300
B-Y84398	1300
B-Z8074	800
B-Y12200	4400
B-Y472107	4400
B-Y86747	3800
B-CTS6633	2500
B-C137898	2400
B-FT151909	1650
B-Y12203	3500
B-BY47577	3100
B-Y542453	1450
B-Y64917	350
B-Y32479	1850
B-Y104554	1500
B-FT36380	1500
B-BY17105	1700
B-Y193059	700
B-BY19521	475
B-BY110550	300
B-BY17102	1850
B-BY69396	200
B-Y87783	50
CT	68500
DE	65200
D	56500
D-Y330435	1700
D-M174	46200
D-CTS11577	45000
D-Z3660	45000
D-Y34637	4200
D-Y34960	350
D-Y34670	850
D-Y35019	275
D-M64.1	20700
D-Z1516	14300
D-CTS1824	6500
D-CTS11811	5800
D-Y456902	6500
D-CTS220	10200
D-CTS10495	9300
D-CTS11285	9000
D-PH2316	4500
D-Y155423	1200
D-Y648756	50
D-Y188585	150
D-Z1622	17300
D-CTS6609	17300
D-BY138474	14800
D-Y334665	2100
D-Z1574	13200
D-BY13953	9400
D-CTS2826	1750
D-CTS1405	13100
D-Y326345	8300
D-MF11416	3000
D-Y326394	2400
D-Y11739	9700
D-Y45011	2600
D-Z1561	9700
D-Z1527	3200
D-Y311502	50
D-Z14840	2700
D-V1017	2700
D-CTS6909	0
D-CTS3033	1800
D-FT298734	1800
D-Y275761	1800
D-Y297527	125
D-Y298058	50
D-M125	14300
D-CTS291	4800
D-Y303491	550
D-Y439573	75
D-TY135926	3900
D-Y487557	900
D-IMS-JST022457	4600
D-FT312195	3700
D-Y340470	3700
D-Y210936	1700
D-Z1485	4600
D-CTS3397	3800
D-Z1500	1900
D-Z1504	1900
D-FT262409	600
D-Y156829	500
D-CTS11748	500
D-CTS8093	1900
D-Y317669	1500
D-CTS4093	1350
D-FGC6373	1900
D-FGC6372	50
D-Y15407	45000
D-P99	11000
D-Y14729	6000
